Project,Client,Description,Task,User,Email,Tags,Billable,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal),Billable Rate (USD),Billable Amount (USD)
Beta,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/28/2022,14:00:00,12/28/2022,17:00:00,3:00:00,3,0,0
Delta,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/28/2022,13:00:00,12/28/2022,16:30:00,3:30:00,3.5,0,0
Alpha,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/28/2022,13:00:00,12/28/2022,14:00:00,1:00:00,1,0,0
Gamma,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/28/2022,13:00:00,12/28/2022,17:00:00,4:00:00,4,0,0
Delta,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/28/2022,12:00:00,12/28/2022,13:00:00,1:00:00,1,0,0
Gamma,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/28/2022,11:45:00,12/28/2022,12:00:00,0:15:00,0.25,0,0
Delta,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/28/2022,9:45:00,12/28/2022,11:45:00,2:00:00,2,0,0
Delta,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/28/2022,9:00:00,12/28/2022,9:45:00,0:45:00,0.75,0,0
Beta,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/28/2022,8:00:00,12/28/2022,12:00:00,4:00:00,4,0,0
Alpha,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/28/2022,8:00:00,12/28/2022,12:00:00,4:00:00,4,0,0
Alpha,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/28/2022,8:00:00,12/28/2022,9:00:00,1:00:00,1,0,0
Beta,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/27/2022,16:30:00,12/27/2022,17:00:00,0:30:00,0.5,0,0
Beta,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/27/2022,13:45:00,12/27/2022,16:30:00,2:45:00,2.75,0,0
Gamma,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/27/2022,13:00:00,12/27/2022,17:00:00,4:00:00,4,0,0
Beta,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/27/2022,13:00:00,12/27/2022,13:45:00,0:45:00,0.75,0,0
Gamma,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/27/2022,13:00:00,12/27/2022,17:15:00,4:15:00,4.25,0,0
Gamma,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/27/2022,11:30:00,12/27/2022,12:00:00,0:30:00,0.5,0,0
Gamma,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/27/2022,10:15:00,12/27/2022,12:00:00,1:45:00,1.75,0,0
Beta,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/27/2022,10:15:00,12/27/2022,11:30:00,1:15:00,1.25,0,0
Beta,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/27/2022,9:30:00,12/27/2022,12:00:00,2:30:00,2.5,0,0
Gamma,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/27/2022,8:00:00,12/27/2022,10:15:00,2:15:00,2.25,0,0
Delta,,,,Harry Potter,harryp@hogwarts.com,,Yes,12/27/2022,8:00:00,12/27/2022,9:30:00,1:30:00,1.5,0,0
Beta,,,,Ron Weasley,ronw@hogwarts.com,,Yes,12/27/2022,8:00:00,12/27/2022,10:15:00,2:15:00,2.25,0,0
Holiday Pay,,,,Hermione Granger,hermioneg@hogwarts.com,,Yes,12/24/2022,8:00:00,12/24/2022,16:00:00,8:00:00,8,0,0
